date,open,high,low,close,volume,market_cap
2013-05-18T04:00:00.000000Z,118,118.14,116.14,116.5,123.6361004,1300970091.27126
2013-05-18T08:09:00.000000Z,116,116.99,116,116.36,248.4787001,1299406693.73668
2013-05-18T12:10:00.000000Z,116.95,118.9799,115.81001,118.13,784.4468688,1319172505.42381
2013-05-18T16:12:00.000000Z,118.5,118.98,117.13,118.4,416.1766747,1322187629.24049
2013-05-18T20:02:00.000000Z,118.38,118.54,117.26,118,217.47431124,1317720779.1417
2013-05-19T00:09:00.000000Z,118.45,119.1,117.95,119.1,313.4542554,1330004616.91336
2013-05-19T04:19:00.000000Z,119.08,119.08,118,118,21.6453495,1317720779.1417
2013-05-19T08:15:00.000000Z,118.79,120.99,117.77,118.73,108.74410963,1325872780.57198
2013-05-19T12:15:00.000000Z,118.88,118.88,117,118.12,466.5544494,1319060834.17134
2013-05-19T16:15:00.000000Z,118.05,118.05,115.61,116,367.5981092,1295386528.64777
2013-05-19T20:05:00.000000Z,116.5,118.5,116.5,118,114.7675,1317720779.1417
2013-05-20T00:07:00.000000Z,118,118.44,117,117,22.8099,1306553653.89474
2013-05-20T05:10:00.000000Z,118.3,118.4,118,118.3,4.5,1321070916.71579
2013-05-20T08:35:00.000000Z,118.3,118.3,117.25,117.25,26.98,1309345435.20648
2013-05-20T12:24:00.000000Z,117.8,118.45,117.51,118.39,252.40399782,1322075957.98802
2013-05-20T16:01:00.000000Z,118.03,118.94,117.59,118.66,289.2494886,1325091081.8047
2013-05-20T20:00:00.000000Z,118.89,118.91,116,118.44,276.1214643,1322634314.25036
2013-05-21T00:03:00.000000Z,118.29,118.6,117.11,118.1,124.870206,1318837491.6664
2013-05-21T04:00:00.000000Z,118.1,118.17,117.16,117.16,183.42984722,1308340393.93425
2013-05-21T08:00:00.000000Z,117.19,118.21,117.02,117.51,670.6567947,1312248887.77069
2013-05-21T12:01:00.000000Z,118.29,118.3,117,117.53,247.0802758,1312472230.27563
2013-05-21T16:00:00.000000Z,117.53,118.5,117.21,117.45,204.9555851,1311578860.25587
2013-05-21T20:03:00.000000Z,117.5,118.35,117,117.99,453.3845903,1317609107.88923
2013-05-22T00:43:00.000000Z,117.91,117.91,117.02,117.85,105.1201055,1316045710.35466
2013-05-22T04:00:00.000000Z,117.85,118.4,117.23,118,370.8490818,1317720779.1417
2013-05-22T08:01:00.000000Z,118.3,118.77,117,118.77,286.28459299,1326319465.58186
2013-05-22T12:13:00.000000Z,118.01,119.1,117.4,118.53,492.33602005,1323639355.52259
2013-05-22T16:03:00.000000Z,120,120,118.37,119.32,980.41976124,1332461384.46769
2013-05-22T20:03:00.000000Z,118.98,119.46,118,119.19,279.44436966,1331009658.18559
2013-05-23T00:07:00.000000Z,119.44,119.89,118.75,119.44,429.26924671,1333801439.49733
2013-05-23T04:02:00.000000Z,119.46,119.7,119.11,119.16,165.4973459,1330674644.42818
2013-05-23T08:14:00.000000Z,118.6,121,118.6,120.1,547.4740511,1341171742.16032
2013-05-23T12:01:00.000000Z,120.11,121.85,120,121.85,1138.99671534,1360714211.34251
2013-05-23T16:01:00.000000Z,121.12,123.889,121.01,123.8,1180.3441804,1382490105.57409
2013-05-23T20:00:00.000000Z,123.58,124.25,121.35,123.97,606.6539423,1384388516.86607
2013-05-24T00:14:00.000000Z,124.04,124.25,122.82,123.8,380.5927333,1382490105.57409
2013-05-24T04:00:00.000000Z,123.83,124.7,122.4,123.8,231.2027906,1382490105.57409
2013-05-24T08:42:00.000000Z,123.489,128.93,123.489,128.3,3091.57249295,1432742169.18543
2013-05-24T12:06:00.000000Z,128.5,128.5,124.62,128,1849.30622563,1429392031.61134
2013-05-24T16:01:00.000000Z,127.96,130,126,127.64,1407.90914638,1425371866.52243
2013-05-24T20:07:00.000000Z,127.16,129.48,126.33,129.19,881.59231564,1442680910.65522
2013-05-25T00:19:00.000000Z,129.25,129.73,129,129.69,78.8976366,1448264473.2787
2013-05-25T04:00:00.000000Z,129.7,129.7,128.28,128.84,594.8645036,1438772416.81879
2013-05-25T08:02:00.000000Z,129.3,129.3,126,127.64,694.8023271,1425371866.52243
2013-05-25T12:02:00.000000Z,128.3,128.47,126,128.47,574.6356428,1434640580.47741
2013-05-25T16:00:00.000000Z,128.43,128.97,125.1,128.44,467.3882242,1434305566.72
2013-05-25T20:02:00.000000Z,128.36,129,127.9,128.49,237.7716214,1434863922.98235
2013-05-26T00:01:00.000000Z,129,129.17,128,129,123.49950047,1440559156.8583
